code,dead1,dead10,dead100,live_herb,live_wood,model_type,sav_dead,sav_live_herb,sav_live_wood,depth,mext,heat
GR1,0.1,0.0,0.0,0.3,0.0,dynamic,2200.0,2000.0,9999.0,0.4,15.0,8000.0
GR2,0.1,0.0,0.0,1.0,0.0,dynamic,2000.0,1800.0,9999.0,1.0,15.0,8000.0
GR3,0.1,0.4,0.0,1.5,0.0,dynamic,1500.0,1300.0,9999.0,2.0,30.0,8000.0
GR4,0.25,0.0,0.0,1.9,0.0,dynamic,2000.0,1800.0,9999.0,2.0,15.0,8000.0
GR5,0.4,0.0,0.0,2.5,0.0,dynamic,1800.0,1600.0,9999.0,1.5,40.0,8000.0
GR6,0.1,0.0,0.0,3.4,0.0,dynamic,2200.0,2000.0,9999.0,1.5,40.0,9000.0
GR7,1.0,0.0,0.0,5.4,0.0,dynamic,2000.0,1800.0,9999.0,3.0,15.0,8000.0
GR8,0.5,1.0,0.0,7.3,0.0,dynamic,1500.0,1300.0,9999.0,4.0,30.0,8000.0
GR9,1.0,1.0,0.0,9.0,0.0,dynamic,1800.0,1600.0,9999.0,5.0,40.0,8000.0
GS1,0.2,0.0,0.0,0.5,0.65,dynamic,2000.0,1800.0,1800.0,0.9,15.0,8000.0
GS2,0.5,0.5,0.0,0.6,1.0,dynamic,2000.0,1800.0,1800.0,1.5,15.0,8000.0
GS3,0.3,0.25,0.0,1.45,1.25,dynamic,1800.0,1600.0,1600.0,1.8,40.0,8000.0
GS4,1.9,0.3,0.1,3.4,7.1,dynamic,1800.0,1600.0,1600.0,2.1,40.0,8000.0
SB1,1.5,3.0,11.0,0.0,0.0,n/a,2000.0,9999.0,9999.0,1.0,25.0,8000.0
SB2,4.5,4.25,4.0,0.0,0.0,n/a,2000.0,9999.0,9999.0,1.0,25.0,8000.0
SB3,5.5,2.75,3.0,0.0,0.0,n/a,2000.0,9999.0,9999.0,1.2,25.0,8000.0
SB4,5.25,3.5,5.25,0.0,0.0,n/a,2000.0,9999.0,9999.0,2.7,25.0,8000.0
SH1,0.25,0.25,0.0,0.15,1.3,dynamic,2000.0,1800.0,1600.0,1.0,15.0,8000.0
SH2,1.35,2.4,0.75,0.0,3.85,n/a,2000.0,9999.0,1600.0,1.0,15.0,8000.0
SH3,0.45,3.0,0.0,0.0,6.2,n/a,1600.0,9999.0,1400.0,2.4,40.0,8000.0
SH4,0.85,1.15,0.2,0.0,2.55,n/a,2000.0,1800.0,1600.0,3.0,30.0,8000.0
SH5,3.6,2.1,0.0,0.0,2.9,n/a,750.0,9999.0,1600.0,6.0,15.0,8000.0
SH6,2.9,1.45,0.0,0.0,1.4,n/a,750.0,9999.0,1600.0,2.0,30.0,8000.0
SH7,3.5,5.3,2.2,0.0,3.4,n/a,750.0,9999.0,1600.0,6.0,15.0,8000.0
SH8,2.05,3.4,0.85,0.0,4.35,n/a,750.0,9999.0,1600.0,3.0,40.0,8000.0
SH9,4.5,2.45,0.0,1.55,7.0,dynamic,750.0,1800.0,1500.0,4.4,40.0,8000.0
TL1,1.0,2.2,3.6,0.0,0.0,n/a,2000.0,9999.0,9999.0,0.2,30.0,8000.0
TL2,1.4,2.3,2.2,0.0,0.0,n/a,2000.0,9999.0,9999.0,0.2,25.0,8000.0
TL3,0.5,2.2,2.8,0.0,0.0,n/a,2000.0,9999.0,9999.0,0.3,20.0,8000.0
TL4,0.5,1.5,4.2,0.0,0.0,n/a,2000.0,9999.0,9999.0,0.4,25.0,8000.0
TL5,1.15,2.5,4.4,0.0,0.0,n/a,2000.0,9999.0,1600.0,0.6,25.0,8000.0
TL6,2.4,1.2,1.2,0.0,0.0,n/a,2000.0,9999.0,9999.0,0.3,25.0,8000.0
TL7,0.3,1.4,8.1,0.0,0.0,n/a,2000.0,9999.0,9999.0,0.4,25.0,8000.0
TL8,5.8,1.4,1.1,0.0,0.0,n/a,1800.0,9999.0,9999.0,0.3,35.0,8000.0
TL9,6.65,3.3,4.15,0.0,0.0,n/a,1800.0,9999.0,1600.0,0.6,35.0,8000.0
TU1,0.2,0.9,1.5,0.2,0.9,dynamic,2000.0,1800.0,1600.0,0.6,20.0,8000.0
TU2,0.95,1.8,1.25,0.0,0.2,n/a,2000.0,9999.0,1600.0,1.0,30.0,8000.0
TU3,1.1,0.15,0.25,0.65,1.1,dynamic,1800.0,1600.0,1400.0,1.3,30.0,8000.0
TU4,4.5,0.0,0.0,0.0,2.0,n/a,2300.0,9999.0,2000.0,0.5,12.0,8000.0
TU5,4.0,4.0,3.0,0.0,3.0,n/a,1500.0,9999.0,750.0,1.0,25.0,8000.0
